Fomitopsis ochracea
Fomitopsis pinicola
Fomitopsis schrenkii
Fuligo septica
Fulvifomes robiniae
Fuscoporia gilva
Galerina autumnalis
Galerina clavata
Galerina marginata
Galiella rufa
Ganoderma applanatum
Ganoderma australe
Ganoderma brownii
Ganoderma curtisii
Ganoderma lobatum
Ganoderma martinicense
Ganoderma megaloma
Ganoderma oregonense
Ganoderma polychromum
Ganoderma sessile
Ganoderma tsugae
Ganoderma zonatum
Gastroboletus turbinatus
Geastrum saccatum
Geastrum triplex
Geopyxis carbonaria
Gerronema strombodes
Gliophorus irrigatus
Gliophorus laetus
Gliophorus perplexus
Gliophorus psittacinus
Globifomes graveolens
Gloeophyllum sepiarium
Gloeoporus dichrous
Gomphidius glutinosus
Gomphidius oregonensis
Gomphidius subroseus
Gomphus bonarii
Gomphus clavatus
Gomphus floccosus
Graphis scripta
Grifola frondosa
Guepinia helvelloides
Gymnopilus aeruginosus
Gymnopilus junonius
Gymnopilus liquiritiae
Gymnopilus luteofolius
Gymnopilus luteus
Gymnopilus penetrans
Gymnopilus punctifolius
Gymnopilus sapineus
Gymnopilus thiersii
Gymnopilus ventricosus
Gymnopus brassicolens
Gymnopus confluens
Gymnopus dichrous
Gymnopus dryophilus
Gymnopus iocephalus
Gymnopus luxurians
Gymnopus peronatus
Gymnopus quercophilus
Gymnopus semihirtipes
Gymnopus spongiosus
Gymnopus subnudus
Gymnopus subpruinosus
Gymnopus villosipes
Gymnosporangium juniperi-virginianae
Gyromitra brunnea
Gyromitra esculenta
Gyromitra infula
Gyromitra korfii
Gyromitra montana
Gyroporus castaneus
Gyroporus cyanescens
Hapalopilus nidulans
Hapalopilus rutilans
Harrya chromapes
Hebeloma crustuliniforme
Hebeloma mesophaeum
Hebeloma velutipes
Heimiomyces tenuipes
Heimioporus betula
Helicogloea compressa
Helminthosphaeria clavariarum
Helvella acetabulum
Helvella compressa
Helvella crispa
Helvella dryophila
Helvella elastica
Helvella lacunosa
Helvella leucomelaena
Helvella macropus
Helvella maculata
Helvella solitaria
Helvella vespertina
Hemileccinum subglabripes
Hemipholiota populnea
Hemistropharia albocrenulata
Hemitrichia calyculata
Hericium abietis
Hericium americanum
Hericium coralloides
Hericium erinaceus
Herpothallon rubrocinctum
Heterobasidion occidentale
Hexagonia hydnoides
Hexagonia papyracea
Hohenbuehelia mastrucata
Hohenbuehelia petaloides
Holwaya mucida
Hortiboletus rubellus
Humaria hemisphaerica
Humidicutis marginata
Hydnellum aurantiacum
Hydnellum caeruleum
Hydnellum concrescens
Hydnellum peckii
Hydnellum scrobiculatum
Hydnellum spongiosipes
Hydnopolyporus fimbriatus
Hydnum oregonense
Hydnum repandum
Hydnum umbilicatum
Hygrocybe acutoconica
Hygrocybe cantharellus
Hygrocybe chlorophana
Hygrocybe coccinea
Hygrocybe conica
Hygrocybe flavescens
Hygrocybe flavifolia
Hygrocybe miniata
Hygrocybe punicea
Hygrocybe singeri
Hygrophoropsis aurantiaca
Hygrophorus agathosmus
Hygrophorus chrysodon
Hygrophorus eburneus
Hygrophorus flavodiscus
Hygrophorus fuligineus
Hygrophorus hypothejus
Hygrophorus occidentalis
Hygrophorus pudorinus
Hygrophorus purpurascens
Hygrophorus pustulatus
Hygrophorus roseibrunneus
Hygrophorus russula
Hygrophorus sordidus
Hygrophorus speciosus
Hygrophorus subalpinus
Hymenochaete damicornis
Hymenochaete rubiginosa
Hymenopellis furfuracea
Hypholoma capnoides
Hypholoma fasciculare
Hypholoma lateritium
Hypholoma marginatum
Hypholoma subviride
Hypogymnia imshaugii
Hypogymnia physodes
Hypomyces aurantius
Hypomyces cervinigenus
Hypomyces chrysospermus
Hypomyces hyalinus
Hypomyces lactifluorum
Hypomyces lateritius
Hypomyces luteovirens
Hypoxylon fragiforme
Hypsizygus marmoreus
Hypsizygus ulmarius
Icmadophila ericetorum
Imleria badia
Infundibulicybe gibba
Inocybe assimilata
Inocybe bongardii
Inocybe calamistrata
Inocybe fraudans
Inocybe fuscidula
Inocybe geophylla
Inocybe insinuata
Inocybe ionocephala
Inocybe lacera
Inocybe lilacina
Inocybe mixtilis
Inocybe rimosa
Inocybe sororia
Inocybe tahquamenonensis
Inocybe unicolor
Inonotus hispidus
Inonotus obliquus
Ionomidotis irregularis
Irpex lacteus
Ischnoderma resinosum
Jahnoporus hirtus
Kretzschmaria deusta
Kuehneromyces lignicola
Kuehneromyces marginellus
Kuehneromyces mutabilis
Laccaria amethysteo-occidentalis
Laccaria amethystina
Laccaria bicolor
Laccaria laccata
Laccaria ochropurpurea
Laccaria proxima
Laccaria tortilis
Lachnum virgineum
Lacrymaria echiniceps
Lacrymaria lacrymabunda
Lactarius alnicola
Lactarius argillaceifolius
Lactarius atroviridis
Lactarius camphoratus
Lactarius chrysorrheus
Lactarius controversus
Lactarius corrugis
Lactarius croceus
Lactarius deceptivus
Lactarius griseus
Lactarius hygrophoroides
Lactarius indigo
Lactarius lignyotus
Lactarius mucidus
Lactarius paradoxus
Lactarius peckii
Lactarius piperatus
Lactarius psammicola
Lactarius rubidus
Lactarius rubrilacteus
Lactarius rufulus
Lactarius rufus
Lactarius subplinthogalus
Lactarius subpurpureus
Lactarius vinaceorufescens
Lactarius volemus
Lactarius xanthogalactus
Lactifluus corrugis
Lactifluus deceptivus
Lactifluus glaucescens
Lactifluus hygrophoroides
Lactifluus piperatus
Lactifluus volemus
Laetiporus cincinnatus
Laetiporus conifericola
Laetiporus gilbertsonii
Laetiporus persicinus
Laetiporus sulphureus
Lanmaoa pallidorosea
Lanmaoa pseudosensibilis
Laricifomes officinalis
Lasallia papulosa
Lecanora muralis
Leccinellum albellum
Leccinum duriusculum
Leccinum holopus
Leccinum insigne
Leccinum longicurvipes
Leccinum manzanitae
Leccinum pseudoscabrum
Leccinum rubropunctum
Leccinum rugosiceps
Leccinum scabrum
Leccinum snellii
Lecidella elaeochroma
